None,None,MAIN SKU,VARIANT SKU,None,Add to Collection,None,Title = Col_F (Col_H),None,None,None,None,None,None,None,Tags,TurnedOn,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,TurnedOn,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,W/C,None,W/C,None,W/C,W,W,None,W/C,None,None,W/C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W/C,W,W,W,W,W,W,W,W,W,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,None
None,None,None,None,14,None,9,None,2,3,4,1,5,None,None,6,7,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,3,4,7,15,17,18,19,20,21,22,23,24,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,None
None,None,None,None,Variant SKU,None,Option1 Value,None,Title,Body (HTML),Vendor,Handle,Type,None,None,Tags,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Body (HTML),Vendor,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,None
Order,Simple Product Code,State+Unique,Product Code,Variant SKU,Series,Option1 Value,Color,Title,Body (HTML),Vendor,Handle,Type,Type/Option,Size,Tags,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Body (HTML),Vendor,Published,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,None
1,A,121001,110,121001-110,ICONIC Alaska,"Design Only, Digital File",Black & Gray,"ICONIC Alaska - Design Only, Digital File (Black & Gray)",Applied Logic by ZM,DW,ICONIC Alaska_121001-110,"Design Only, Digital File",Design Only,Digital File,"AK, Alaska, ,,,State,,,ICONIC Alaska",TRUE,0,1,", ",manual,0,0,TRUE,TRUE,121001-110,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,Applied Logic by ZM,DW,TRUE,0,1,deny,manual,0,0,TRUE,TRUE,121001-110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,B,121001,236,121001-236,ICONIC Alaska,"Print, 12"" x 12""",Black & Gray,"ICONIC Alaska - Print, 12"" x 12"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC Alaska_121001-236,"Print, 12"" x 12""",Print,"12"" x 12""","AK, Alaska, ,,,State,,,ICONIC Alaska",TRUE,3,1,"6, 6",manual,9.6,9.6,TRUE,TRUE,121001-236,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,None,None,None,None,None,None,None,None,None,None,None,24,None,None,None,None,None,None,None,None,None,Applied Logic by ZM,SP,TRUE,3,1,deny,manual,24,24,TRUE,TRUE,121001-236,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,C,121001,241,121001-241,ICONIC Alaska,"Print, 18"" x 24""",Black & Gray,"ICONIC Alaska - Print, 18"" x 24"" (Black & Gray)",Applied Logic by ZM,SP,ICONIC Alaska_121001-241,"Print, 18"" x 24""",Print,"18"" x 24""","AK, Alaska, ,,,State,,,ICONIC Alaska",TRUE,6,1,"6, 6",manual,14,14,TRUE,TRUE,121001-241,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,None,None,None,None,None,None,None,None,None,None,None,35,None,None,None,None,None,None,None,None,None,Applied Logic by ZM,SP,TRUE,6,1,deny,manual,35,35,TRUE,TRUE,121001-241,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,D,121001,381,121001-381,ICONIC Alaska,"Pallet Art, 10"" x 16""",Black & Gray,"ICONIC Alaska - Pallet Art, 10"" x 16"" (Black & Gray)",Applied Logic by ZM,AR,ICONIC Alaska_121001-381,"Pallet Art, 10"" x 16""",Pallet Art,"10"" x 16""","AK, Alaska, ,,,State,,,ICONIC Alaska",TRUE,12,1,"6, 6",manual,14,14,TRUE,TRUE,121001-381,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,None,None,None,None,None,None,None,None,None,None,None,35,None,None,None,None,None,None,None,None,None,Applied Logic by ZM,AR,TRUE,12,1,deny,manual,35,35,TRUE,TRUE,121001-381,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,F,121001,790,121001-790,ICONIC Alaska,"12"" X 12"" Print + Frame (Black)",Black & Gray,"ICONIC Alaska - 12"" X 12"" Print + Frame (Black) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Alaska_121001-790,"12"" X 12"" Print + Frame (Black)",Print + Frame (Black),"12"" x 12""","AK, Alaska, ,,,State,,,ICONIC Alaska",TRUE,13,1,"6, 6",manual,19.6,19.6,TRUE,TRUE,121001-790,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,None,None,None,None,None,None,None,None,None,None,None,49,None,None,None,None,None,None,None,None,None,Applied Logic by ZM,SP+AR,TRUE,13,1,deny,manual,49,49,TRUE,TRUE,121001-790,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,G,121001,791,121001-791,ICONIC Alaska,"12"" x 12"" Print + Frame (White)",Black & Gray,"ICONIC Alaska - 12"" x 12"" Print + Frame (White) (Black & Gray)",Applied Logic by ZM,SP+AR,ICONIC Alaska_121001-791,"12"" x 12"" Print + Frame (White)",Print + Frame (White),"12"" x 12""","AK, Alaska, ,,,State,,,ICONIC Alaska",TRUE,13,1,"6, 6",manual,19.6,19.6,TRUE,TRUE,121001-791,https://drive.google.com/open?id=1pL1UbunvELSp_8L8zM1Q4LN68BOYmsxI,None,None,None,None,None,None,None,None,None,None,None,49,None,None,None,None,None,None,None,None,None,Applied Logic by ZM,SP+AR,TRUE,13,1,deny,manual,49,49,TRUE,TRUE,121001-791,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
